com_address,coordinates
"Tagaytay City, Cavite","(14.099410057067871, 120.93846130371094)"
"Rosario, Cavite","(14.417019844055176, 120.85504913330078)"
"Santo Tomas, Pampanga","(15.001090049743652, 120.72660827636719)"
"Cuenca, Batangas","(13.896129608154297, 121.04637145996094)"
"Pandan, Antique","(11.72385025024414, 122.09375)"
"Alaminos, Pangasinan","(16.155590057373047, 119.9793930053711)"
"Barotac Nuevo, Iloilo","(10.894189834594727, 122.70426177978516)"
"Santa Ana, Pampanga","(15.100359916687012, 120.76936340332031)"
"Candelaria, Zambales","(15.604880332946777, 119.9386978149414)"
"Kalayaan, Laguna","(14.324589729309082, 121.4784164428711)"
"Floridablanca, Pampanga","(14.974590301513672, 120.52847290039062)"
"Santo Tomas, Batangas","(14.106399536132812, 121.14280700683594)"
"Kidapawan, North Cotabato","(7.0210700035095215, 125.09030151367188)"
"Hermosa, Bataan","(14.8303804397583, 120.50834655761719)"
"Abucay, Bataan","(14.722940444946289, 120.53529357910156)"
"Calumpit, Bulacan","(14.914859771728516, 120.76537322998047)"
"San Miguel, Bulacan","(15.159339904785156, 120.97310638427734)"
"Jimalalud, Negros Oriental","(9.980310440063477, 123.20079803466797)"
"Daraga, Albay","(13.131070137023926, 123.69568634033203)"
"Malvar, Batangas","(14.053850173950195, 121.15538024902344)"
"Butuan City, Agusan del Norte","(8.94756031036377, 125.54105377197266)"
"Norzagaray, Bulacan","(14.906909942626953, 121.04193115234375)"
"Bamban, Tarlac","(15.289139747619629, 120.5707778930664)"
"Capas, Tarlac","(15.346579551696777, 120.59342193603516)"
"Bauan, Batangas","(13.790060043334961, 121.0131607055664)"
"Tabaco, Albay","(13.357040405273438, 123.70005798339844)"
"Urdaneta, Pangasinan","(15.97577953338623, 120.56709289550781)"
"Santa Rita, Pampanga","(15.004380226135254, 120.60527801513672)"
"San Ildefonso, Bulacan","(15.076930046081543, 120.94178771972656)"
"Concepcion, Tarlac","(15.392919540405273, 120.59758758544922)"
"Cagayan De Oro City, Misamis Oriental","(8.48585033416748, 124.64795684814453)"
"Agoo, La Union","(16.322629928588867, 120.3671875)"
"Bacolor, Pampanga","(15.003219604492188, 120.65390014648438)"
"Jaen, Nueva Ecija","(15.366049766540527, 120.87378692626953)"
"Panabo, Davao del Norte","(7.26701021194458, 125.66449737548828)"
"Cavinti, Laguna","(14.24800968170166, 121.50077056884766)"
"Balagtas, Bulacan","(14.816349983215332, 120.90937805175781)"
"Trece Martires City, Cavite","(14.281970024108887, 120.87010955810547)"
"Pulilan, Bulacan","(14.90231990814209, 120.8522720336914)"
"San Antonio, Nueva Ecija","(15.339500427246094, 120.83325958251953)"
"Mabalacat City, Pampanga","(15.181900024414062, 120.52311706542969)"
"Mendez, Cavite","(14.130620002746582, 120.90463256835938)"
"San Marcelino, Zambales","(14.971460342407227, 120.15603637695312)"
"General Mamerto Natividad, Nueva Ecija","(15.603230476379395, 121.05078887939453)"
"Pasacao, Camarines Sur","(13.526639938354492, 123.04685974121094)"
"Jimenez, Misamis Occidental","(8.333720207214355, 123.84868621826172)"
"General Emilio Aguinaldo, Cavite","(14.183309555053711, 120.7967300415039)"
